Ozone,Solar.R,Wind,Temp,Month,Day,plot_shapes
41,190,7.4,67,5,1,17
36,118,8,72,5,2,17
12,149,12.6,74,5,3,17
18,313,11.5,62,5,4,17
23,299,8.6,65,5,7,17
19,99,13.8,59,5,8,17
8,19,20.1,61,5,9,17
16,256,9.7,69,5,12,17
11,290,9.2,66,5,13,17
14,274,10.9,68,5,14,17
18,65,13.2,58,5,15,17
14,334,11.5,64,5,16,17
34,307,12,66,5,17,17
6,78,18.4,57,5,18,17
30,322,11.5,68,5,19,17
11,44,9.7,62,5,20,17
1,8,9.7,59,5,21,17
11,320,16.6,73,5,22,17
4,25,9.7,61,5,23,17
32,92,12,61,5,24,17
23,13,12,67,5,28,17
45,252,14.9,81,5,29,17
115,223,5.7,79,5,30,17
37,279,7.4,76,5,31,17
29,127,9.7,82,6,7,17
71,291,13.8,90,6,9,17
39,323,11.5,87,6,10,17
23,148,8,82,6,13,17
21,191,14.9,77,6,16,17
37,284,20.7,72,6,17,17
20,37,9.2,65,6,18,17
12,120,11.5,73,6,19,17
13,137,10.3,76,6,20,17
135,269,4.1,84,7,1,17
49,248,9.2,85,7,2,17
32,236,9.2,81,7,3,17
64,175,4.6,83,7,5,17
40,314,10.9,83,7,6,17
77,276,5.1,88,7,7,17
97,267,6.3,92,7,8,17
97,272,5.7,92,7,9,17
85,175,7.4,89,7,10,17
10,264,14.3,73,7,12,17
27,175,14.9,81,7,13,17
7,48,14.3,80,7,15,17
48,260,6.9,81,7,16,17
35,274,10.3,82,7,17,17
61,285,6.3,84,7,18,17
79,187,5.1,87,7,19,17
63,220,11.5,85,7,20,17
16,7,6.9,74,7,21,17
80,294,8.6,86,7,24,17
108,223,8,85,7,25,17
20,81,8.6,82,7,26,17
52,82,12,86,7,27,17
82,213,7.4,88,7,28,17
50,275,7.4,86,7,29,17
64,253,7.4,83,7,30,17
59,254,9.2,81,7,31,17
39,83,6.9,81,8,1,17
9,24,13.8,81,8,2,17
16,77,7.4,82,8,3,17
122,255,4,89,8,7,17
89,229,10.3,90,8,8,17
110,207,8,90,8,9,17
44,192,11.5,86,8,12,17
28,273,11.5,82,8,13,17
65,157,9.7,80,8,14,17
22,71,10.3,77,8,16,17
59,51,6.3,79,8,17,17
23,115,7.4,76,8,18,17
31,244,10.9,78,8,19,17
44,190,10.3,78,8,20,17
21,259,15.5,77,8,21,17
9,36,14.3,72,8,22,17
45,212,9.7,79,8,24,17
168,238,3.4,81,8,25,17
73,215,8,86,8,26,17
76,203,9.7,97,8,28,17
118,225,2.3,94,8,29,17
84,237,6.3,96,8,30,17
85,188,6.3,94,8,31,17
96,167,6.9,91,9,1,17
78,197,5.1,92,9,2,17
73,183,2.8,93,9,3,17
91,189,4.6,93,9,4,17
47,95,7.4,87,9,5,17
32,92,15.5,84,9,6,17
20,252,10.9,80,9,7,17
23,220,10.3,78,9,8,17
21,230,10.9,75,9,9,17
24,259,9.7,73,9,10,17
44,236,14.9,81,9,11,17
21,259,15.5,76,9,12,17
28,238,6.3,77,9,13,17
9,24,10.9,71,9,14,17
13,112,11.5,71,9,15,17
46,237,6.9,78,9,16,17
18,224,13.8,67,9,17,17
13,27,10.3,76,9,18,17
24,238,10.3,68,9,19,17
16,201,8,82,9,20,17
13,238,12.6,64,9,21,17
23,14,9.2,71,9,22,17
36,139,10.3,81,9,23,17
7,49,10.3,69,9,24,17
14,20,16.6,63,9,25,17
30,193,6.9,70,9,26,17
14,191,14.3,75,9,28,17
18,131,8,76,9,29,17
20,223,11.5,68,9,30,17
